"plotNumber","entropy"
"fs-049","0"
"fs-048","0"
"fs-024","0"
"fs-032","0"
"fs-041","0"
"fs-040","0"
"fs-042","0"
"fs-047","0"
"fs-006","0"
"fs-044","0"
"fs-046","0"
"fs-013","0"
"fs-002","0"
"fs-045","0"
"fs-050","0"
"de-004","0"
"de-003","0"
"fs-038","0"
"fs-023","0"
"fs-010","0"
"dm-003","0"
"exc-004","0"
"fs-031","0"
"fs-014","0"
"fs-039","0"
"fs-043","0"
"fs-037","0"
"fs-036","0"
"fs-005","0"
"fs-034","0"
"fs-001","0"
"fs-033","0"
"fs-029","0"
"fs-030","0"
"fs-027","0"
"fs-004","0"
"fs-022","0"
"fs-003","0"
"dm-002","0"
"dm-001","0"
"fs-035","0"
"fs-025","0"
"fs-026","0"
"fs-028","0"
"dm-006","0"
"dm-005","0"
"dm-004","0"
"fs-016","0"
"fs-017","0"
"fs-011","0"
"fs-012","0"
"fs-020","0"
"fs-021","0"
"fs-007","0"
"fs-015","0"
"fs-018","0"
"fs-019","0"
"fs-009","0"
"fs-008","0"
"fs-051","0"
"fs-052","0.391243563629256"
"fs-053","0.175565025857503"
"fs-054","0"
"fs-055","0"
"fs-056","0.684038435639042"
"fs-057","0"
"fs-058","0.91829583405449"
