"plotNumber","entropy"
"fs-049","1.17807911315185"
"fs-048","0"
"fs-024","1.18837637173451"
"fs-032","0.881290899230693"
"fs-041","0"
"fs-040","0"
"fs-042","1.29546184423832"
"fs-047","0.932138039759375"
"fs-006","0"
"fs-044","0.619382194678764"
"fs-046","0.543564443199596"
"fs-013","0.970950594454669"
"fs-002","0"
"fs-045","0.863120568566631"
"fs-050","0.845350936622436"
"de-004","0"
"de-003","0.337290066617014"
"fs-038","0.76420450650862"
"fs-023","0"
"fs-010","0.391243563629256"
"dm-003","0.970950594454669"
"exc-004","0"
"fs-031","0.985228136034252"
"fs-014","1.14847474219663"
"fs-039","0"
"fs-043","0.650022421648354"
"fs-037","0.970950594454669"
"fs-036","1"
"fs-005","1.32217934551667"
"fs-034","0"
"fs-001","1.45914791702724"
"fs-033","0"
"fs-029","0.468995593589281"
"fs-030","0"
"fs-027","1.44881563572518"
"fs-004","0.863120568566631"
"fs-022","0"
"fs-003","0.836640741941167"
"dm-002","0.863120568566631"
"dm-001","1"
"fs-035","0"
"fs-025","0.309543429150325"
"fs-026","0.979868756651153"
"fs-028","0"
"dm-006","0.91829583405449"
"dm-005","1"
"dm-004","1"
"fs-016","0"
"fs-017","1.29546184423832"
"fs-011","0"
"fs-012","0"
"fs-020","0"
"fs-021","0.503258334775646"
"fs-007","0.468995593589281"
"fs-015","0.213579815338277"
"fs-018","0.946372935985442"
"fs-019","1.45914791702724"
"fs-009","0.991076059838222"
"fs-008","0.439496986921513"
"fs-051","1.48335575498169"
"fs-052","1.3844315043406"
"fs-053","0"
"fs-054","0"
"fs-055","0"
"fs-056","1.7527152789797"
"fs-057","0"
"fs-058","0"
