"plotNumber","evenness"
"fs-049","NaN"
"fs-048","NaN"
"fs-024","NaN"
"fs-032","NaN"
"fs-041","NaN"
"fs-040","NaN"
"fs-042","NaN"
"fs-047","NaN"
"fs-006","NaN"
"fs-044","NaN"
"fs-046","NaN"
"fs-013","NaN"
"fs-002","NaN"
"fs-045","NaN"
"fs-050","NaN"
"de-004","NaN"
"de-003","NaN"
"fs-038","NaN"
"fs-023","NaN"
"fs-010","NaN"
"dm-003","NaN"
"exc-004","NaN"
"fs-031","NaN"
"fs-014","NaN"
"fs-039","NaN"
"fs-043","NaN"
"fs-037","NaN"
"fs-036","NaN"
"fs-005","NaN"
"fs-034","NaN"
"fs-001","NaN"
"fs-033","NaN"
"fs-029","NaN"
"fs-030","NaN"
"fs-027","NaN"
"fs-004","NaN"
"fs-022","NaN"
"fs-003","NaN"
"dm-002","NaN"
"dm-001","NaN"
"fs-035","NaN"
"fs-025","NaN"
"fs-026","NaN"
"fs-028","NaN"
"dm-006","NaN"
"dm-005","NaN"
"dm-004","NaN"
"fs-016","NaN"
"fs-017","NaN"
"fs-011","NaN"
"fs-012","NaN"
"fs-020","NaN"
"fs-021","NaN"
"fs-007","NaN"
"fs-015","NaN"
"fs-018","NaN"
"fs-019","NaN"
"fs-009","NaN"
"fs-008","NaN"
"fs-051","0"
"fs-052","0.391243563629256"
"fs-053","0.175565025857503"
"fs-054","0"
"fs-055","0"
"fs-056","0.684038435639042"
"fs-057","0"
"fs-058","0.91829583405449"
