"plotNumber","evenness"
"fs-049","0.669191548376426"
"fs-048","0.87816041861999"
"fs-024","0.866725543047162"
"fs-032","0.87635763948985"
"fs-041","1"
"fs-040","0.875"
"fs-042","0.729846699162098"
"fs-047","0.869915529773629"
"fs-006","0.962961064794513"
"fs-044","0.89207956392571"
"fs-046","0.825011210824175"
"fs-013","0.875"
"fs-002","0.982141032834873"
"fs-045","0.962961064794513"
"fs-050","0.992215060722016"
"de-004","NaN"
"de-003","NaN"
"fs-038","0.875"
"fs-023","0.921185496588555"
"fs-010","0.935944697445865"
"dm-003","1"
"exc-004","NaN"
"fs-031","0.96022971786076"
"fs-014","NaN"
"fs-039","0.96022971786076"
"fs-043","0.91626958884991"
"fs-037","0.721928094887362"
"fs-036","0.89624062518029"
"fs-005","0.785475297227335"
"fs-034","0.999673426004892"
"fs-001","0.941762301220658"
"fs-033","0.96022971786076"
"fs-029","0.92321967233551"
"fs-030","0.605186576633421"
"fs-027","0.962961064794513"
"fs-004","0.929906376575378"
"fs-022","0.811278124459133"
"fs-003","0.95665047157557"
"dm-002",NA
"dm-001",NA
"fs-035","0.96096404744368"
"fs-025","0.837894403500341"
"fs-026","0.766893743799276"
"fs-028","NaN"
"dm-006",NA
"dm-005","NaN"
"dm-004",NA
"fs-016","0.928383211769588"
"fs-017","0.844541246458714"
"fs-011","0.959147917027245"
"fs-012","0.968392514041224"
"fs-020","0.96096404744368"
"fs-021","0.88210225325431"
"fs-007","0.934977529767124"
"fs-015","NaN"
"fs-018","0.893294132402149"
"fs-019","0.89207956392571"
"fs-009","0.98238878179562"
"fs-008","0.960058249314533"
"fs-051","0.89207956392571"
"fs-052","0.913831148197153"
"fs-053","0.175565025857503"
"fs-054","0.91829583405449"
"fs-055","1"
"fs-056","0.921090496547476"
"fs-057","0.999999999999999"
"fs-058","1"
