"plotNumber","evenness"
"fs-049","0.743285164548578"
"fs-048","NaN"
"fs-024","0.749782011368597"
"fs-032","0.881290899230693"
"fs-041","NaN"
"fs-040","NaN"
"fs-042","0.817345422146509"
"fs-047","0.401450002612847"
"fs-006","NaN"
"fs-044","0.619382194678764"
"fs-046","0.543564443199596"
"fs-013","0.970950594454669"
"fs-002","NaN"
"fs-045","0.863120568566631"
"fs-050","0.845350936622436"
"de-004","NaN"
"de-003","0.337290066617014"
"fs-038","0.76420450650862"
"fs-023","NaN"
"fs-010","0.391243563629256"
"dm-003","0.970950594454669"
"exc-004","NaN"
"fs-031","0.985228136034252"
"fs-014","0.724606886077163"
"fs-039","NaN"
"fs-043","0.650022421648354"
"fs-037","0.970950594454669"
"fs-036","1"
"fs-005","0.834202288644104"
"fs-034","NaN"
"fs-001","0.920619835714302"
"fs-033","NaN"
"fs-029","0.468995593589281"
"fs-030","NaN"
"fs-027","0.914100892018562"
"fs-004","0.863120568566631"
"fs-022","NaN"
"fs-003","0.836640741941167"
"dm-002","0.863120568566631"
"dm-001","1"
"fs-035","NaN"
"fs-025","0.309543429150325"
"fs-026","0.979868756651153"
"fs-028","NaN"
"dm-006","0.91829583405449"
"dm-005","1"
"dm-004","1"
"fs-016","NaN"
"fs-017","0.817345422146509"
"fs-011","NaN"
"fs-012","NaN"
"fs-020","NaN"
"fs-021","0.503258334775646"
"fs-007","0.468995593589281"
"fs-015","0.213579815338277"
"fs-018","0.597094843287992"
"fs-019","0.920619835714302"
"fs-009","0.991076059838222"
"fs-008","0.439496986921513"
"fs-051","0.935893280949401"
"fs-052","0.873479027870177"
"fs-053","NaN"
"fs-054","NaN"
"fs-055","NaN"
"fs-056","0.87635763948985"
"fs-057","NaN"
"fs-058","NaN"
