"id","treeID","creatorID","specID","easting","northing","height","DBH","remarks","plot"
1,"b00001","jk","FIG",477490.9,5632269.48,NA,0.15,NA,"fs-049"
2,"b00002","jk","BUR",477577.44,5632278.02,NA,0.08,NA,"fs-048"
3,"b00003","jk","FIG",477490.76,5632269.93,NA,0.08,"tot","fs-049"
6,"b00006","jk","FIG",477493.29,5632269.77,NA,0.1,"tot","fs-049"
9,"b00009","GHKLRRS","BUR",477393.6,5631904.1,7.1,0.3,NA,"fs-024"
13,"b00013","dg","EIT",477350.58,5632173.92,NA,0.41,NA,"fs-032"
14,"b00014","dg","BUR",477230.35,5631662.31,NA,0.59,NA,"fs-041"
15,"b00015","BHW","BUR",477567.65,5632277.61,19,0.21,"Plakette neu gesetzt dg 31.8.2018","fs-048"
21,"b00400","KSW","BUR",477198.99,5631805.8,18,0.45,NA,"fs-040"
22,"b00401","KSW","BUR",477203.32,5631808.12,19,0.37,NA,"fs-040"
23,"b00402","KSW","BUR",477205.18,5631807.84,9,0.16,NA,"fs-040"
24,"b00403","KSW","BUR",477205.26,5631803.22,22,0.48,NA,"fs-040"
25,"b00404","KSW","BUR",477200.81,5631797.53,12,0.16,NA,"fs-040"
26,"b00405","KSW","BUR",477200.77,5631796.08,19,0.37,NA,"fs-040"
27,"b00406","KSW","BUR",477189.69,5631799.07,24,0.38,NA,"fs-040"
28,"b00407","KSW","BUR",477192,5631806.22,18,0.4,NA,"fs-040"
29,"b00408","KSW","BUR",477245.78,5631625.11,29,0.73,NA,"fs-041"
30,"b00409","KSW","BUR",477240.81,5631629.05,25,0.59,NA,"fs-041"
31,"b00410","KSW","BUR",477482.53,5631633.66,7.9,0.22,NA,"fs-042"
32,"b00411","KSW","LAE",477482.53,5631629.27,16.5,0.33,NA,"fs-042"
33,"b00412","KSW","BUR",477485.84,5631628.4,6.5,0.14,NA,"fs-042"
34,"b00413","KSW","BUR",477484.98,5631618.3,8,0.14,NA,"fs-042"
