Plot;species;lat;coverage;comment;foto
1;Gewoehnliches Springkraut;Impatiens noli-tangere;r;lateinischen Namen ueberpruefen;20190604_134001
1;Waldmeister;Galium odoratum;+;NA;NA
1;Eiche;Quercus ?;1;NA;NA
1;Einbluetiges Perlgras;NA;r;NA;NA
1;Groáe Sternmiere;Stella holostea;r;NA;NA
1;Kleinbluetiges Springkraut;Impatiens parviflora;r;NA;20190604_134001
1;Buschwindroeschen;Anemone nemorosa;r;NA;20190502_150801
1;Eberesche;Sorbus aucuparia;r;NA;NA
1;Hain-Rispengras ;Poa nemoralis;r;(Hitler-Gras) H001;NA
1;H002;NA;r;Gras-Streifig/lanzettlich;NA
2;Waldsauerklee;Oxalis acetosella;1;NA;20190523_142637 RB
2;Waldmeister;Galium odoratum;2;NA;NA
2;Maigloeckchen;NA;+;Herbstzeitlose?;NA
2;Buschwindroeschen;Anemone nemorosa;1;NA;20190502_150801
2;Rotbuche;Fagus sylvatica;1;NA;20190502_150726
2;Traubeneiche;Quercus petraea;r;NA;20190502_150903
2;Gewoehnliches Scharbockskraut;Ficaria verna;r;NA;NA
2;Schwarzer Holunder;Sambucus nigra;r;NA;NA
2;H004;NA;r;Gras breiter;NA
2;H005;NA;NA;Grasbueschel;NA
2;Zweiblaettriges Schattenbluemchen;Marianthemum biofolium;+;kleines Einblatt;NA
3;Brombeere;Rubus fruticosus;+;NA;NA
3;Brennessel;Urtica dioica;3;NA;NA
3;Farn;NA;+;NA;NA
3;Ampfer;NA;+;welcher genau;NA
3;Gewoehnliche Knoblauchrauke;Alliaria petiolata;r;NA;NA
3;Gewoehnliches Kletten-Labkraut;Galium aparine;1;NA;NA
3;Groáe Sternmiere;Stella holostea;NA;NA;NA
3;H006;Carex remota;NA;Winkelsaege;NA
3;H007;Cardamine pratensis;NA;Wiesenschaumkraut;NA
3;H008;NA;NA;Indisches Springkraut;NA
3;H009;NA;NA;Gras, kleine Frchte>50;NA
3;H010;NA;NA;Tyopteris (Farne);NA
3;H011;Geum urbanum;+;Gew”hnliches Nelkenwurz;NA
3;H012;NA;NA;Sauergras mit Aehre (Cyperacea);NA
3;H013;Teucrium chamaedrys;NA;Edel-Gamander;NA
3;H014;NA;NA;Juncacea (Schwammgewebe);NA
3;H015;NA;NA;Waldsimse;NA
4;Brennessel;Urtica ?;r;NA;NA
4;Mittleres Zittergras;Briza media;2;NA;NA
4;Waldmeister;Galium odoratum;r;NA;NA
4;Waldsauerklee;Oxalis acetosella;+;NA;20190523_142637 RB
4;Rotbuche;Fagus sylvatica;1;NA;20190502_150726
4;Gewoehnliches Kletten-Labkraut;Galium aparine;r;NA;NA
4;Stieleiche;Quercus robur;r;NA;NA
4;H016;Impatiens glabdukifera;NA;Keimling, 4Blatt, indisches Springkraut?;NA
5;Waldsauerklee;Oxalis acetosella;r;NA;20190523_142637 RB
5;Rotbuche;Fagus sylvatica;+;NA;NA
5;Zwiebel-Zahnwurz;Dentaria bulbifera;+;NA;NA
5;Farn;NA;r;welcher genau;NA
5;Gewoehnliche Knoblauchrauke;Alliaria petiolata;r;NA;NA
5;Rosenart;Rosa ?;r;Rosa avensis/Rosa canina;20190523_152318
6;Gewoehnliches Springkraut;Impatiens noli-tangere;1;NA;NA
6;Farn;NA;+;NA;NA
6;Gewoehnliches Kletten-Labkraut;Galium aparine;r;NA;NA
6;Eiche ;Quercus ?;r;(Keimling);NA
6;H016;NA;r;Das nichtssagende, samtige Blaetter (Herbarium);NA
6;Buschwindroeschen;Anemone nemorosa;r;NA;NA
6;Brenessel;Urtica …;r;Herbarium;NA
7;Gewoehnliche Esche;Fraxinus excelsior;r;NA;NA
7;Rotbuche;Fagus sylvatica;1;NA;NA
7;Farn;NA;+;NA;NA
8;Waldehrenpreis;Veronica chamaedrys;r;NA;NA
8;Hain-Rispengras ;Poa nemoralis;r;NA;NA
8;Brombeere;Rubus fruticosus;1;NA;NA
8;Farn;NA;+;Herbar ?;NA
8;Hainampfer;Rumex sanguineus;r;NA;NA
8;Kleinbluetiges Springkraut;Impatiens parviflora;r;NA;NA
8;Waldhainsimse;Luzula sylvatica;+;NA;NA
8;Drahtschmiele;Deschampsia flexuosa;+;NA;NA
8;Waldlabkraut;Gallium sylvaticum;r;NA;NA
8;H017;NA;r;Stachelkraut, Herbarium;NA
8;H018;NA;+;Zeckengras, Herbarium;NA
