plot;ID;numberPlate;colorPlate;deviationNord;distanceCP;species;habitatTree;height_a;height_b;height_c;height_d;totalHeight;diameterAtBreast
1;1;08900;r;8;2,5;Stieleiche;0;1,6;0,7;0,7;16,4;18;1,63
1;2;00141;r;5;8,2;Hainbuche;0;1,6;0,7;0,7;12,2;13,8;0,7
1;3;00135;r;48;8,3;Hainbuche;0;1,6;0,7;0,7;15,9;17,5;0,76
1;4;00681;r;76;1,5;Hainbuche;0;1,6;0,7;0,7;16,3;17,9;0,73
1;5;00885;r;144;5,4;Hainbuche;0;1,6;0,7;0,7;9,5;11,1;0,85
1;6;00137;r;153;8,9;Rotbuche;0;1,6;0,7;0,7;16,5;18,1;0,76
1;7;00808;r;231;3,2;Rotbuche;1;1,6;0,7;0,7;19,3;20,9;1,26
1;8;00016;r;231;10,3;Rotbuche;0;1,6;0,7;0,7;12,2;13,8;0,68
1;9;00012;r;251;8,1;Rotbuche;0;1,6;0,7;0,7;13;14,6;0,55
1;10;00139;r;305;8,7;Hainbuche;0;1,6;0,7;0,7;10,2;11,8;0,76
1;11;00911;r;330;9;Stieleiche;0;1,6;0,7;0,7;21,4;23;1,71
1;12;00901;r;354;8,7;Rotbuche;0;1,6;0,7;0,7;8;9,6;0,49
2;1;00844;r;330;2,6;Rotbuche;0;1,7;0,8;1;29,5;38,575;1,86
2;2;00841;r;8;6,29;Rotbuche;0;1,7;0,8;1;19,6;26,2;0,65
2;3;00893;r;32;4,49;Rotbuche;0;1,7;0,8;1;17,8;23,95;0,65
2;4;00916;r;54;4;Hainbuche;0;1,7;0,8;1;14,3;19,575;0,39
2;5;00138;r;100;4,35;Traubeneiche;0;1,7;0,8;1;NA;23;1,35
2;6;00853;r;120;6,96;Hainbuche;0;1,7;0,8;1;NA;11;0,62
2;7;00182;r;180;7,55;Hainbuche;0;1,7;0,8;1;15,9;21,575;0,62
2;8;00904;r;118;8,01;Traubeneiche;0;1,7;0,8;1;NA;22;1,02
2;9;00183;r;208;7,81;Rotbuche;0;1,7;0,8;1;31,4;40,95;2,01
2;10;00184;r;236;5,95;Rotbuche;0;1,7;0,8;1;14,3;19,575;0,69
2;11;00185;r;270;4,64;Rotbuche;0;1,7;0,8;1;10,8;15,2;0,35
2;12;00186;r;300;9,93;Rotbuche;0;1,7;0,8;1;20,3;27,075;0,72
3;1;00193;r;107;9,39;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,34
3;2;00551;r;151;3,34;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,3
3;3;00554;r;161;5,5;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,26
3;4;00187;r;196;3,56;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,28
3;5;00189;r;196;8,4;Schwarzerle;0;1,62;0,8;0,65;11,2;9,1;0,35
