treeID;creatorID;statusID;specID;easting;northing;height;DBH;remarks
r08900;FMLRS;9999;EIS;;;18,0;0,518845114;Art ÅberprÅfen
r00141;FMLRS;;HBU;;;13,8;0,22281692;
r00135;FMLRS;;HBU;;;17,5;0,241915513;
r00681;FMLRS;;HBU;;;17,9;0,232366217;
r00885;FMLRS;;HBU;;;11,1;0,270563403;
r00137;FMLRS;;BUR;;;18,1;0,241915513;
r00808;FMLRS;;BUR;;;20,9;0,401070457;
r00016;FMLRS;;BUR;;;13,8;0,216450723;
r00012;FMLRS;;BUR;;;14,6;0,175070437;
r00139;FMLRS;;HBU;;;11,8;0,241915513;
r00911;FMLRS;9999;EIS;;;23,0;0,544309905;Art ÅberprÅfen
r00901;FMLRS;;BUR;;;9,6;0,155971844;
r00844;FMLRS;;BUR;;;38,6;0,592056388;
r00841;FMLRS;;BUR;;;26,2;0,206901426;
r00893;FMLRS;;BUR;;;24,0;0,206901426;
r00916;FMLRS;;HBU;;;19,6;0,124140856;
r00138;FMLRS;;EIT;;;23,0;0,429718346;
r00853;FMLRS;;HBU;;;11,0;0,197352129;
r00182;FMLRS;;HBU;;;21,6;0,197352129;
r00904;FMLRS;;EIT;;;22,0;0,324676084;
r00183;FMLRS;;BUR;;;41,0;0,639802871;
r00184;FMLRS;;BUR;;;19,6;0,219633821;
r00185;FMLRS;;BUR;;;15,2;0,11140846;
r00186;FMLRS;;BUR;;;27,1;0,229183118;
r00193;FMLRS;;ERS;;;9,1;0,108225361;
r00551;FMLRS;;ERS;;;9,1;0,095492966;
r00554;FMLRS;;ERS;;;9,1;0,08276057;
r00187;FMLRS;;ERS;;;9,1;0,089126768;
r00189;FMLRS;;ERS;;;9,1;0,11140846;
r00191;FMLRS;;ERS;;;9,1;0,085943669;
r00192;FMLRS;;ERS;;;9,1;0,105042262;
r00195;FMLRS;;ERS;;;9,1;0,101859164;
r00196;FMLRS;;ERS;;;9,1;0,089126768;
r00190;FMLRS;;ERS;;;9,1;0,101859164;
r00198;FMLRS;;ERS;;;9,1;0,117774658;
r00199;FMLRS;;ERS;;;9,1;0,108225361;
r00553;FMLRS;;ERS;;;9,1;0,079577472;
r00194;FMLRS;;ERS;;;9,1;0,085943669;
r00552;FMLRS;;ERS;;;9,1;0,073211274;
r00548;FMLRS;;ERS;;;9,1;0,085943669;
r00547;FMLRS;;ERS;;;9,1;0,079577472;
r00692;FMLRS;;ERS;;;9,1;0,076394373;
r00550;FMLRS;;ERS;;;9,1;0,092309867;
r00188;FMLRS;;ERS;;;9,1;0,076394373;
r00800;FMLRS;;ERS;;;9,1;0,079577472;
r00933;FMLRS;;ERS;;;9,1;0,095492966;
r00934;FMLRS;;ERS;;;9,1;0,08276057;
r00935;FMLRS;;ERS;;;9,1;0,076394373;
r00936;FMLRS;;ERS;;;9,1;0,076394373;
r00937;FMLRS;;ERS;;;9,1;0,098676065;
r00938;FMLRS;;ERS;;;9,1;0,085943669;
r00939;FMLRS;;ERS;;;9,1;0,08276057;
r00940;FMLRS;;ERS;;;9,1;0,076394373;
r00941;FMLRS;;ERS;;;9,1;0,079577472;
r00549;FMLRS;;ERS;;;9,1;0,070028175;
r00693;FMLRS;;ERS;;;9,1;0,089126768;
r00942;FMLRS;;ERS;;;9,1;0,085943669;
r00943;FMLRS;;ERS;;;9,1;0,085943669;
r00944;FMLRS;;ERS;;;9,1;0,079577472;
r00945;FMLRS;;ERS;;;9,1;0,08276057;
r00197;FMLRS;;ERS;;;9,1;0,079577472;
b00947;FMLRS;;BUR;;;40,2;0,61433808;
b00946;FMLRS;;BUR;;;27,7;0,649352168;
r00788;FMLRS;;BUR;;;26,9;0,522028213;
r00115;FMLRS;;BUR;;;7,0;0,095492966;
r00116;FMLRS;;BUR;;;15,4;0,197352129;
r00117;FMLRS;;BUR;;;20,7;0,292845095;
r00118;FMLRS;;BUR;;;27,7;0,439267643;
b00948;FMLRS;;LAE;;;26,3;0,276929601;
b00752;FMLRS;;LAE;;;16,3;0,149605647;
b00753;FMLRS;;LAE;;;31,6;0,254647909;
b00754;FMLRS;;LAE;;;22,4;0,175070437;
b00755;FMLRS;;BUR;;;27,5;0,22281692;
b00749;FMLRS;;BUR;;;15,3;0,079577472;
b00750;FMLRS;;BUR;;;16,6;0,101859164;
b00748;FMLRS;;BUR;;;20,7;0,127323954;
b00756;FMLRS;;LAE;;;31,0;0,296028194;
b00751;FMLRS;;LAE;;;27,3;0,296028194;
b00757;FMLRS;;BUR;;;17,8;0,190985932;
b00758;FMLRS;;LAE;;;25,1;0,458366236;
b00759;FMLRS;;LAE;;;31,4;0,318309886;
r00370;FMLRS;;DGL;;;15,9;0,219633821;
r00371;FMLRS;9999;EIS;;;31,4;0,413802852;Art ÅberprÅfen
r00372;FMLRS;;DGL;;;11,7;0,127323954;
r00373;FMLRS;9999;EIS;;;30,9;0,254647909;Art ÅberprÅfen
r00374;FMLRS;;BUR;;;35,4;0,375605666;
r00375;FMLRS;;BUR;;;44,0;0,436084544;
r00376;FMLRS;;BUR;;;36,8;0,579323993;
r00377;FMLRS;;BUR;;;23,0;0,283295799;
r00378;FMLRS;;BUR;;;16,3;0,210084525;
r00379;FMLRS;;BUR;;;27,2;0,477464829;
r00320;FMLRS;;BUR;;;30,2;0,604788784;
r00321;FMLRS;;BUR;;;28,2;0,604788784;
