treeID;plotID;createrID;angleN;distCP
r08900;fs-051;FMLRS;8;2,5
r00141;fs-051;FMLRS;5;8,2
r00135;fs-051;FMLRS;48;8,3
r00681;fs-051;FMLRS;76;1,5
r00885;fs-051;FMLRS;144;5,4
r00137;fs-051;FMLRS;153;8,9
r00808;fs-051;FMLRS;231;3,2
r00016;fs-051;FMLRS;231;10,3
r00012;fs-051;FMLRS;251;8,1
r00139;fs-051;FMLRS;305;8,7
r00911;fs-051;FMLRS;330;9
r00901;fs-051;FMLRS;354;8,7
r00844;fs-052;FMLRS;330;2,6
r00841;fs-052;FMLRS;8;6,29
r00893;fs-052;FMLRS;32;4,49
r00916;fs-052;FMLRS;54;4
r00138;fs-052;FMLRS;100;4,35
r00853;fs-052;FMLRS;120;6,96
r00182;fs-052;FMLRS;180;7,55
r00904;fs-052;FMLRS;118;8,01
r00183;fs-052;FMLRS;208;7,81
r00184;fs-052;FMLRS;236;5,95
r00185;fs-052;FMLRS;270;4,64
r00186;fs-052;FMLRS;300;9,93
r00193;fs-053;FMLRS;107;9,39
r00551;fs-053;FMLRS;151;3,34
r00554;fs-053;FMLRS;161;5,5
r00187;fs-053;FMLRS;196;3,56
r00189;fs-053;FMLRS;196;8,4
r00191;fs-053;FMLRS;240;8,8
r00192;fs-053;FMLRS;246;8,9
r00195;fs-053;FMLRS;260;9,2
r00196;fs-053;FMLRS;255;7,5
r00190;fs-053;FMLRS;255;5,7
r00198;fs-053;FMLRS;295;8
r00199;fs-053;FMLRS;310;9,31
r00553;fs-053;FMLRS;0;5,23
r00194;fs-053;FMLRS;10;4,78
r00552;fs-053;FMLRS;5;3,98
r00548;fs-053;FMLRS;40;1,4
r00547;fs-053;FMLRS;130;2
r00692;fs-053;FMLRS;208;1,5
r00550;fs-053;FMLRS;184;3,1
r00188;fs-053;FMLRS;180;6,94
r00800;fs-053;FMLRS;115;2,32
r00933;fs-053;FMLRS;113;5,26
r00934;fs-053;FMLRS;99;8,8
r00935;fs-053;FMLRS;350;7,49
r00936;fs-053;FMLRS;340;8,26
r00937;fs-053;FMLRS;340;9,46
r00938;fs-053;FMLRS;300;7,5
r00939;fs-053;FMLRS;285;9,8
r00940;fs-053;FMLRS;275;9,6
r00941;fs-053;FMLRS;270;7,8
r00549;fs-053;FMLRS;259;3,8
r00693;fs-053;FMLRS;280;1,9
r00942;fs-053;FMLRS;216;4,8
r00943;fs-053;FMLRS;231;6,4
r00944;fs-053;FMLRS;213;6,8
r00945;fs-053;FMLRS;137;9,54
r00197;fs-053;FMLRS;295;6,54
b00947;fs-054;FMLRS;60;7,4
b00946;fs-054;FMLRS;120;2,3
r00788;fs-054;FMLRS;240;3,5
r00115;fs-055;FMLRS;5;3,3
r00116;fs-055;FMLRS;10;2,64
r00117;fs-055;FMLRS;126;6
r00118;fs-055;FMLRS;340;6,4
b00948;fs-056;FMLRS;0;1,73
b00752;fs-056;FMLRS;5;6,9
b00753;fs-056;FMLRS;20;7,1
b00754;fs-056;FMLRS;40;7,1
b00755;fs-056;FMLRS;80;6,8
b00749;fs-056;FMLRS;85;4,4
b00750;fs-056;FMLRS;90;6,1
b00748;fs-056;FMLRS;105;3,6
b00756;fs-056;FMLRS;115;8,9
b00751;fs-056;FMLRS;125;5,7
b00757;fs-056;FMLRS;140;7,7
b00758;fs-056;FMLRS;155;7,41
b00759;fs-056;FMLRS;180;6
r00370;fs-056;FMLRS;220;8,9
r00371;fs-056;FMLRS;275;5,6
r00372;fs-056;FMLRS;295;2,4
r00373;fs-056;FMLRS;285;7,6
r00374;fs-056;FMLRS;310;7,3
r00375;fs-057;FMLRS;20;2,7
r00376;fs-057;FMLRS;60;4
r00377;fs-057;FMLRS;60;6
r00378;fs-057;FMLRS;250;7,2
r00379;fs-057;FMLRS;310;8,2
r00320;fs-058;FMLRS;43;6,66
r00321;fs-058;FMLRS;136;6,22
