plot;diameter;species;lat;speciesNumber;avgHeight;foto
1;0-2;Rotbuche;Fagus sylvatica;1;0,3;NA
1;0-2;Hainbuche;Carpinus betulus;1;0,3;NA
2;0-2;Rotbuche;Fagus sylvatica;r;0,7;NA
3;2-7;Wollweide;Salix lanata;r;3,5;"20190514_145841; 20190514_145849"
3;2-7;Eberesche;Sorbus aucuparia;r;3;NA
4;0-2;Rotbuche;Fagus sylvatica;1;1,8;NA
4;2-7;Rotbuche;Fagus sylvatica;r;2,6;NA
5;0-2;Rotbuche;Fagus sylvatica;+;1,8;NA
5;2-7;Rotbuche;Fagus sylvatica;r;2,8;NA
6;2-7;Rotbuche;Fagus sylvatica;r;2,1;NA
6;2-7;Gemeine Hasel;Corylus avellana;r;3;NA
7;0-2;Rotbuche;Fagus sylvatica;1;1;NA
7;2-7;Rotbuche;Fagus sylvatica;+;4,5;NA
8;0-2;Rotbuche;Fagus sylvatica;2;3;NA
8;2-7;Rotbuche;Fagus sylvatica;+;4;NA
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
