"plot","class","length","diameter","decompositionLevel","soilContact","level"
"fs-051",2,2,0.4,"z4",1,NA
"fs-051",4,10,0.09,"z3",1,NA
"fs-051",5,7,0.02,"z3",1,NA
"fs-051",5,5,0.01,"z4",1,NA
"fs-052",2,0.5,0.3,"z4",1,NA
"fs-052",2,0.3,1.4,"z1",1,NA
"fs-052",3,50,0.7,"z3",1,1
"fs-052",4,60,0.1,"z3",1,NA
"fs-052",4,5,0.1,"z1",1,NA
"fs-053",1,2.5,0.2,"z1",0,1
"fs-053",2,4,0.2,"z2",1,NA
"fs-053",4,2,0.3,"z3",1,NA
"fs-053",5,20,0.2,"z1",1,NA
"fs-053",5,100,0.1,"z1",0,NA
"fs-054",4,22.5,0.15,"z2",1,NA
"fs-054",5,8,0.8,"z1",1,NA
"fs-054",4,3,0.1,"z3",1,NA
"fs-054",4,19,0.5,"z4",1,NA
"fs-055",2,1.4,0.5,"z4",1,NA
"fs-055",4,17,0.25,"z3",1,NA
"fs-055",5,10,0.5,"z1",1,NA
"fs-055",4,1,0.2,"z4",1,NA
"fs-056",1,2,0.08,"z1",0,1
"fs-056",2,0.4,0.25,"z1",1,NA
"fs-056",2,0.8,0.2,"z2",1,NA
"fs-056",2,0.4,0.1,"z3",1,NA
"fs-056",3,30,0.2,"z1",1,1
"fs-056",3,100,0.15,"z2",0,1
"fs-056",3,10,0.12,"z4",1,1
"fs-057",2,1.8,0.55,"z2",1,NA
"fs-057",4,9,0.04,"z1",0,NA
"fs-057",4,9,0.12,"z2",1,NA
"fs-057",4,3,0.07,"z3",1,NA
"fs-057",5,25,0.01,"z1",1,NA
"fs-058",2,0.5,0.9,"z2",1,NA
"fs-058",3,6,0.08,"z2",0,1
"fs-058",4,6,0.1,"z2",1,NA
"fs-058",5,2,0.02,"z1",1,NA
