"plot","treeID","creatorID","statusID","species","easting","northing","totalHeight","DBH","remarks","level"
"fs-051","r08900","FMLRS",9999,"EIS",NA,NA,18,0.518845114,"Art ÅberprÅfen",1
"fs-051","r00141","FMLRS",NA,"HBU",NA,NA,13.8,0.22281692,"",1
"fs-051","r00135","FMLRS",NA,"HBU",NA,NA,17.5,0.241915513,"",1
"fs-051","r00681","FMLRS",NA,"HBU",NA,NA,17.9,0.232366217,"",1
"fs-051","r00885","FMLRS",NA,"HBU",NA,NA,11.1,0.270563403,"",1
"fs-051","r00137","FMLRS",NA,"BUR",NA,NA,18.1,0.241915513,"",1
"fs-051","r00808","FMLRS",NA,"BUR",NA,NA,20.9,0.401070457,"",1
"fs-051","r00016","FMLRS",NA,"BUR",NA,NA,13.8,0.216450723,"",1
"fs-051","r00012","FMLRS",NA,"BUR",NA,NA,14.6,0.175070437,"",1
"fs-051","r00139","FMLRS",NA,"HBU",NA,NA,11.8,0.241915513,"",1
"fs-051","r00911","FMLRS",9999,"EIS",NA,NA,23,0.544309905,"Art ÅberprÅfen",1
"fs-051","r00901","FMLRS",NA,"BUR",NA,NA,9.6,0.155971844,"",1
"fs-052","r00844","FMLRS",NA,"BUR",NA,NA,38.6,0.592056388,"",1
"fs-052","r00841","FMLRS",NA,"BUR",NA,NA,26.2,0.206901426,"",1
"fs-052","r00893","FMLRS",NA,"BUR",NA,NA,24,0.206901426,"",1
"fs-052","r00916","FMLRS",NA,"HBU",NA,NA,19.6,0.124140856,"",1
"fs-052","r00138","FMLRS",NA,"EIT",NA,NA,23,0.429718346,"",1
"fs-052","r00853","FMLRS",NA,"HBU",NA,NA,11,0.197352129,"",1
"fs-052","r00182","FMLRS",NA,"HBU",NA,NA,21.6,0.197352129,"",1
"fs-052","r00904","FMLRS",NA,"EIT",NA,NA,22,0.324676084,"",1
"fs-052","r00183","FMLRS",NA,"BUR",NA,NA,41,0.639802871,"",1
"fs-052","r00184","FMLRS",NA,"BUR",NA,NA,19.6,0.219633821,"",1
"fs-052","r00185","FMLRS",NA,"BUR",NA,NA,15.2,0.11140846,"",1
"fs-052","r00186","FMLRS",NA,"BUR",NA,NA,27.1,0.229183118,"",1
"fs-053","r00193","FMLRS",NA,"ERS",NA,NA,9.1,0.108225361,"",1
"fs-053","r00551","FMLRS",NA,"ERS",NA,NA,9.1,0.095492966,"",1
"fs-053","r00554","FMLRS",NA,"ERS",NA,NA,9.1,0.08276057,"",1
